time,abs_intensity
4.78,562965
4.782,541014
4.783,530894
4.785,520118
4.787,514948
4.788,521031
4.79,523030
4.792,517952
4.793,522654
4.795,522120
4.797,531401
4.798,527314
4.8,528926
4.802,522465
4.803,520449
4.805,523947
4.807,520873
4.808,511136
4.81,512426
4.812,511555
4.813,511670
4.815,519899
4.817,507959
4.818,513699
4.82,510404
4.822,511127
4.823,511184
4.825,510165
4.827,513847
4.828,509938
4.83,512185
4.832,513092
4.833,512551
4.835,519918
4.837,505577
4.838,513678
4.84,516126
4.842,518960
4.843,513218
4.845,517256
4.847,518614
4.848,519266
4.85,515801
4.852,516128
4.853,515177
4.855,514158
4.857,512854
4.858,516753
4.86,511082
4.862,509350
4.863,513070
4.865,502570
4.867,509006
4.868,508953
4.87,509747
4.872,502134
4.873,512268
4.875,508730
4.877,509829
4.878,514254
4.88,513207
4.882,510517
4.883,505983
4.885,507888
4.887,511853
4.888,506417
4.89,511681
4.892,511833
4.893,515641
4.895,506801
4.897,514179
4.898,510493
4.9,517404
4.902,504534
4.903,510466
4.905,515590
4.907,511960
4.908,509609
4.91,510864
4.912,509413
4.913,509445
4.915,504057
4.917,510619
4.918,514170
4.92,508298
4.922,502985
4.923,504141
4.925,511166
4.927,509965
4.928,512327
4.93,513182
4.932,507678
4.933,510645
4.935,510858
4.937,505206
4.938,510240
4.94,507752
4.942,509242
4.943,503545
4.945,507678
4.947,509614
4.948,506723
4.95,504455
4.952,500355
4.953,503907
4.955,505967
4.957,506534
4.958,506593
4.96,508169
4.962,507201
4.963,507535
4.965,506778
4.967,512424
4.968,511080
4.97,508811
4.972,514590
4.973,511287
4.975,510544
4.977,507799
4.978,510886
4.98,504130
4.982,510990
4.983,516447
4.985,513866
4.987,502793
4.988,514256
4.99,502934
4.992,504326
4.993,514731
4.995,508595
4.997,505362
4.998,508123
5,506079
5.002,511814
5.003,507141
5.005,510154
5.007,510903
5.008,510744
5.01,507969
5.012,502330
5.013,501814
5.015,511107
5.017,512077
5.018,507745
5.02,503904
5.022,500831
5.023,503153
5.025,509529
5.027,500270
5.028,502304
5.03,505816
5.032,501758
5.033,500530
5.035,499117
5.037,500930
5.038,505013
5.04,492759
5.042,505694
5.043,503977
5.045,500219
5.047,500557
5.048,509276
5.05,507663
5.052,502084
5.053,506450
5.055,506920
5.057,508820
5.058,511905
5.06,508432
5.062,505471
5.063,507552
5.065,505100
5.067,504144
5.068,512436
5.07,513213
5.072,510975
5.073,515270
5.075,508999
5.077,508455
5.078,509738
5.08,507073
5.082,508904
5.083,502885
5.085,506614
5.087,508977
5.088,497868
5.09,500850
5.092,503628
5.093,498555
5.095,503217
5.097,500192
5.098,500738
5.1,504836
5.102,502626
5.103,501173
5.105,504554
5.107,506553
5.108,505215
5.11,501394
5.112,508720
5.113,509372
5.115,513683
5.117,505694
5.118,515798
5.12,509099
5.122,507398
5.123,507338
5.125,504448
5.127,504200
5.128,502675
5.13,501176
5.132,499680
5.133,501110
5.135,494898
5.137,505123
5.138,497067
5.14,498098
5.142,506061
5.143,505695
5.145,502988
5.147,502433
5.148,507258
5.15,503921
5.152,505678
5.153,500379
5.155,499814
5.157,505765
5.158,500208
5.16,508819
5.162,501253
5.163,510454
5.165,499416
5.167,494900
5.168,496699
5.17,503223
5.172,499874
5.173,494622
5.175,500567
5.177,498476
5.178,498099
5.18,498753
5.182,498562
5.183,494294
5.185,494618
5.187,496308
5.188,495123
5.19,494421
5.192,491081
5.193,490576
5.195,494125
5.197,496413
5.198,498759
5.2,494009
5.202,494482
5.203,497328
5.205,493576
5.207,494209
5.208,488765
5.21,494319
5.212,497863
5.213,494372
5.215,498897
5.217,497636
5.218,495430
5.22,500951
5.222,484972
5.223,488241
5.225,491470
5.227,494608
5.228,498564
5.23,491645
5.232,496742
5.233,489764
5.235,492882
5.237,484742
5.238,492663
5.24,489904
5.242,488636
5.243,489363
5.245,482520
5.247,492868
5.248,487664
5.25,487994
5.252,485680
5.253,492425
5.255,485598
5.257,485480
5.258,488003
5.26,483247
5.262,481624
5.263,483122
5.265,485179
5.267,492058
5.268,482082
5.27,483924
5.272,490149
5.273,483237
5.275,483472
5.277,486700
5.278,485506
5.28,480074
5.282,486473
5.283,484245
5.285,484110
5.287,488478
5.288,478862
5.29,486489
5.292,484726
5.293,481020
5.295,485950
5.297,482630
5.298,476724
5.3,482450
5.302,483891
5.303,485177
5.305,477747
5.307,486325
5.308,481050
5.31,482037
