nm,blue_1,green_3,yellow_6,red_40,mix_1,mix_2,mix_3
832,0.01,0,0,0,0.02,0,0
833,0,0,0,0,0.01,0,0
834,0,0,0,0,0.01,0,-0.01
835,0.01,0,0,0,0.01,0,-0.01
836,0.01,0,0.01,0,0.01,0,0
837,0,0,0,0,0.01,0,-0.01
838,0.01,0,0,0,0.01,0.01,0
839,0.01,0,0,0,0.02,0.01,0
840,0,-0.01,0,0,0.01,0,-0.01
841,0.01,0,0,0,0.02,0,0
842,0.01,0,0.01,0,0.02,0.01,0
843,0.01,0,0,0,0.01,0,0
844,0,0,0,0,0.01,0,-0.01
845,0.01,0,0.01,0,0.02,0.01,0
846,0.01,0,0,0,0.01,0.01,0
847,0,0,0,0,0.01,0,-0.01
848,0.01,0,0,0,0.01,0,0
849,0.01,0,0,0,0.02,0,0
850,0.01,0,0,0,0.01,0,0
